mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,length,width,height,wheelbase,engine_type,fuel_system,transmission_type,num_gears,drive_type,drag_coefficient,frontal_area,compression_ratio,top_speed
35.2,6,209.6,58.0,3007,21.6,1997,1,Volvo Hatchback Limited,230.0,82.0,,120.7,V6,MPFI,Automatic,10.0,4WD,0.442,27.0,12.5,137.0
53.9,4,102.4,50.0,1800,20.0,2009,3,Mazda Van Base,226.5,82.0,66.2,122.1,Inline-4,MPFI,Automatic,7.0,RWD,0.412,32.7,10.5,88.0
46.9,4,132.1,50.0,1907,21.9,2018,1,Volkswagen Sedan Sport,,82.0,55.8,,Inline-4,GDI,Manual,5.0,FWD,0.353,28.0,13.4,107.0
46.4,4,104.0,78.0,1800,19.4,2008,3,Kia Sedan Base,199.1,82.0,56.8,103.6,Inline-4,GDI,DCT,,4WD,0.424,27.5,10.1,117.0
39.9,6,226.3,137.0,2582,16.4,1978,1,Kia Hybrid GT,230.0,82.0,56.7,129.9,Flat-6,TBI,CVT,,4WD,,26.9,8.3,125.0
54.8,4,109.9,76.0,1822,17.6,2024,1,Volkswagen Sport ,230.0,82.0,76.1,128.3,Inline-4,MPFI,Manual,5.0,RWD,0.342,35.8,9.1,140.0
51.7,4,156.5,104.0,1800,16.5,2024,1,Acura Van Premium,216.2,82.0,54.5,120.5,,TBI,Automatic,6.0,FWD,0.308,,9.7,134.0
48.0,4,92.5,73.0,1800,18.9,2019,3,Volkswagen Compact EX,220.6,82.0,59.9,123.7,Inline-4,MPFI,Semi-Automatic,6.0,FWD,0.306,,12.0,116.0
49.2,4,139.9,50.0,1800,21.1,2025,3,Lexus Coupe ,211.9,82.0,,113.6,Inline-4,MPFI,Automatic,,FWD,0.363,34.1,12.8,117.0
42.5,6,196.9,110.0,3019,20.4,2011,1,Volvo Truck DX,230.0,82.0,52.1,128.7,Inline-6,MPFI,CVT,,AWD,0.37,25.0,12.0,104.0
45.2,8,280.2,223.0,3361,16.1,2024,2,Toyota Compact Premium,230.0,82.0,67.1,127.3,V8,GDI,Automatic,10.0,FWD,0.332,32.0,13.3,166.0
33.3,6,266.9,111.0,3530,20.3,1980,1,Subaru Sport ,230.0,82.0,55.7,127.2,V6,Carburetor,CVT,,FWD,0.481,26.6,12.7,120.0
38.3,6,247.2,119.0,3279,18.5,2003,2,Tesla Sedan GT,230.0,,56.2,128.2,V6,Direct Injection,Automatic,7.0,FWD,0.431,,10.5,97.0
36.3,6,189.9,86.0,2741,19.6,1995,1,BMW Coupe Premium,230.0,82.0,70.4,130.1,,TBI,Automatic,8.0,AWD,0.403,33.0,9.9,122.0
36.2,5,179.8,143.0,2512,15.9,1993,3,Lexus Sport Sport,230.0,82.0,59.0,128.0,V12,Direct Injection,Semi-Automatic,6.0,4WD,0.418,28.4,10.3,127.0
46.4,4,145.0,99.0,1873,17.0,1989,2,Tesla Crossover Limited,230.0,82.0,68.3,129.3,Flat-4,TBI,Automatic,7.0,RWD,0.481,33.9,10.9,
30.1,8,384.1,172.0,4877,19.2,2014,3,Honda Compact ,,82.0,72.6,125.7,V8,MPFI,Automatic,4.0,FWD,0.323,33.6,12.3,128.0
49.1,4,127.7,114.0,1800,15.2,2019,2,Lexus Hybrid DX,230.0,,71.0,129.2,Flat-4,MPFI,CVT,,FWD,0.389,36.4,10.3,112.0
48.2,4,169.8,78.0,1800,18.6,2012,2,Chevrolet SUV Limited,226.2,82.0,54.5,123.9,Inline-4,MPFI,CVT,,FWD,0.376,24.4,13.2,
40.3,6,204.5,193.0,2812,14.0,1990,2,Subaru Hybrid EX,230.0,82.0,72.3,127.3,V6,Carburetor,CVT,,RWD,0.463,36.0,9.8,154.0
49.5,4,125.8,72.0,2047,20.0,2020,3,Volvo Sedan DX,220.5,82.0,67.8,,Inline-4,TBI,CVT,,AWD,,33.1,10.3,101.0
49.0,4,119.6,77.0,1904,20.8,2014,1,Volkswagen Van Base,227.8,82.0,69.1,127.9,Inline-4,Carburetor,Manual,5.0,FWD,0.412,,12.1,120.0
42.6,4,159.4,84.0,2619,20.0,2004,2,Dodge Van EX,,82.0,55.0,126.5,Inline-4,Carburetor,Manual,5.0,nan,0.425,26.2,11.9,126.0
45.4,4,172.5,123.0,2103,15.6,2016,3,BMW Crossover ,210.6,82.0,65.2,116.0,Inline-4,MPFI,Automatic,5.0,RWD,0.344,32.6,11.7,
45.1,4,166.5,171.0,2083,13.0,1998,1,Acura Convertible ,230.0,82.0,65.7,122.4,Inline-4,MPFI,Manual,5.0,RWD,0.449,30.8,11.2,144.0
40.5,4,161.8,124.0,2024,15.1,2002,1,Mercedes Hybrid Limited,225.5,82.0,52.8,125.2,Inline-4,Direct Injection,Manual,6.0,RWD,,24.9,8.9,135.0
35.7,6,278.7,226.0,3196,14.3,2023,1,Volkswagen SUV DX,230.0,82.0,72.7,125.2,Inline-6,MPFI,Automatic,8.0,FWD,0.335,35.9,,172.0
25.1,8,433.4,162.0,4925,19.4,2000,3,Mazda Hatchback EX,230.0,82.0,68.9,124.8,V8,nan,Manual,5.0,nan,,32.7,10.0,164.0
45.3,4,157.6,118.0,1800,14.1,2008,1,Mercedes Sport LX,230.0,82.0,57.0,122.9,Inline-4,MPFI,Automatic,6.0,RWD,0.394,27.7,12.0,122.0
27.9,8,496.2,355.0,4881,13.2,2022,1,Acura Hatchback GT,230.0,82.0,59.2,126.8,V8,MPFI,nan,7.0,RWD,,29.7,13.2,191.0
48.3,4,90.6,59.0,1800,19.4,2017,1,Lexus Luxury ,230.0,82.0,70.2,124.9,Inline-4,Carburetor,Automatic,5.0,4WD,0.336,33.1,11.1,118.0
38.0,4,147.1,86.0,1983,17.5,1978,1,Lexus Hatchback Sport,210.1,82.0,73.5,109.2,Flat-4,MPFI,Manual,6.0,AWD,0.438,34.9,11.8,111.0
42.9,4,156.5,63.0,2241,22.0,1990,1,Audi Compact ,205.6,82.0,74.5,118.3,Inline-4,GDI,CVT,,FWD,0.429,35.8,8.9,
35.3,6,271.8,162.0,3201,17.9,1971,3,Acura Van GT,230.0,82.0,,122.4,,GDI,Automatic,,RWD,0.489,26.6,11.0,137.0
45.9,4,169.5,84.0,1987,19.6,2014,1,Toyota Compact Limited,214.0,82.0,58.5,122.4,Inline-4,GDI,CVT,,FWD,0.413,,11.3,116.0
31.6,6,264.2,186.0,3622,15.9,2007,2,Chevrolet Hybrid Base,230.0,82.0,72.3,127.8,V6,GDI,Automatic,5.0,FWD,0.412,34.5,8.8,144.0
35.1,6,274.6,101.0,2997,19.6,1988,3,Honda Luxury DX,230.0,82.0,59.4,126.0,V6,GDI,Manual,5.0,FWD,0.493,,11.1,
35.4,6,233.7,94.0,3020,20.7,2024,3,Hyundai SUV Base,230.0,82.0,57.0,126.4,Flat-6,GDI,Automatic,7.0,AWD,0.322,26.9,10.8,137.0
41.5,6,180.7,169.0,2932,18.0,2011,2,Nissan Van DX,230.0,82.0,57.9,123.0,V6,MPFI,nan,6.0,FWD,0.421,27.6,11.7,156.0
27.5,8,282.4,231.0,3646,14.7,1996,3,Volkswagen Hybrid ,230.0,82.0,54.6,126.1,V8,GDI,Automatic,8.0,AWD,0.471,26.0,12.5,160.0
44.6,4,139.0,96.0,1800,15.7,2010,1,Mercedes Hatchback ,230.0,82.0,53.6,124.5,Inline-4,MPFI,Automatic,,FWD,0.427,27.0,11.1,122.0
47.4,4,129.2,98.0,2345,18.9,2016,3,Kia Sport ,230.0,82.0,55.5,127.7,Inline-4,MPFI,Automatic,7.0,FWD,,27.9,13.1,107.0
33.5,6,225.1,154.0,3240,17.2,1980,3,Acura Hatchback Sport,230.0,82.0,72.3,129.2,V6,GDI,CVT,,FWD,0.448,33.9,10.2,146.0
41.0,6,220.0,138.0,3209,20.3,1999,1,Chrysler Crossover Base,230.0,82.0,56.6,123.7,V6,Direct Injection,Automatic,5.0,AWD,0.447,26.6,10.1,121.0
45.9,4,172.6,50.0,2153,22.1,2020,1,Subaru Truck GT,224.9,82.0,67.4,122.0,Inline-4,MPFI,Automatic,5.0,FWD,,33.1,12.7,125.0
42.5,4,122.3,105.0,1970,16.7,2008,2,Chevrolet SUV Limited,224.7,82.0,54.6,130.5,Inline-4,TBI,Automatic,6.0,4WD,0.435,25.6,9.7,134.0
47.7,4,167.1,152.0,1800,12.1,2011,1,Jeep Wagon LX,230.0,82.0,58.8,122.9,Inline-4,MPFI,Manual,5.0,RWD,0.427,28.0,,
45.5,4,171.3,135.0,2038,14.9,2006,1,Subaru Hatchback Base,204.6,82.0,73.0,112.8,Inline-4,GDI,DCT,8.0,AWD,0.416,,9.3,119.0
43.9,4,135.0,90.0,2163,17.0,1976,3,Kia Convertible ,214.8,82.0,,119.1,Inline-4,Direct Injection,Automatic,8.0,RWD,0.46,28.9,,124.0
29.6,8,378.3,248.0,4207,16.2,1991,1,Lexus Van Base,230.0,82.0,71.4,126.8,V8,GDI,Automatic,6.0,4WD,0.415,34.8,11.4,186.0
38.8,6,256.1,157.0,3148,17.0,2007,1,BMW Compact GT,230.0,82.0,70.4,122.1,V6,MPFI,CVT,,FWD,0.355,35.2,12.1,133.0
36.9,5,182.5,182.0,2555,15.0,1994,3,Volkswagen Luxury LX,228.5,82.0,68.5,129.7,V12,MPFI,Manual,6.0,AWD,0.385,32.3,12.4,118.0
38.2,6,212.9,109.0,2667,18.0,1976,1,Subaru Hybrid DX,230.0,82.0,56.6,125.8,V6,MPFI,Automatic,8.0,FWD,,26.4,9.4,106.0
35.1,8,302.6,206.0,4022,18.0,2021,3,Mazda Truck EX,230.0,82.0,54.1,127.9,V8,TBI,Automatic,6.0,4WD,,25.0,12.2,154.0
51.5,4,113.8,68.0,1826,19.9,2025,1,Toyota Luxury EX,230.0,82.0,68.6,124.8,Inline-4,MPFI,CVT,,4WD,0.361,32.8,10.1,112.0
55.0,4,101.8,61.0,1800,20.0,2020,3,Hyundai Convertible LX,230.0,82.0,59.8,129.3,Inline-4,MPFI,Manual,6.0,RWD,0.397,28.0,12.0,
46.0,6,209.5,162.0,2755,17.5,2021,3,Kia Luxury LX,230.0,82.0,57.5,129.3,Inline-6,TBI,Automatic,7.0,FWD,0.334,28.6,11.4,146.0
40.0,6,206.2,139.0,2600,15.1,1996,1,Toyota Compact Premium,230.0,82.0,52.0,125.0,Flat-6,MPFI,Manual,5.0,FWD,,24.6,9.9,
47.2,4,147.4,77.0,2097,19.9,2024,3,Volkswagen SUV Base,213.3,82.0,,116.8,Inline-4,Carburetor,Automatic,8.0,FWD,0.361,35.3,12.7,128.0
14.4,10,543.2,249.0,6447,19.2,1993,2,Mazda Van Premium,,82.0,75.4,125.9,V10,MPFI,nan,6.0,AWD,0.47,35.8,9.3,170.0
39.8,4,151.7,123.0,2100,16.1,2024,1,Acura Wagon GT,230.0,82.0,72.8,127.8,,TBI,Automatic,8.0,RWD,0.33,,11.4,104.0
45.9,4,173.4,132.0,2221,15.1,2025,2,Honda Luxury GT,230.0,82.0,71.6,123.3,Inline-4,Carburetor,DCT,7.0,4WD,0.373,32.5,13.4,121.0
43.6,4,160.6,50.0,2186,20.1,2017,1,Dodge Hatchback Premium,230.0,82.0,59.6,126.9,Inline-4,MPFI,Automatic,6.0,AWD,0.315,29.9,9.4,124.0
47.2,4,155.5,64.0,2307,21.7,2025,3,Mercedes Hybrid EX,230.0,82.0,54.5,125.1,,GDI,CVT,,FWD,0.332,27.5,11.4,110.0
38.2,6,221.4,82.0,3064,21.8,2012,1,Acura Sedan GT,230.0,82.0,59.4,129.2,Inline-6,GDI,CVT,,FWD,,28.4,12.1,
29.7,8,351.5,280.0,4440,,1998,1,Audi Truck LX,230.0,82.0,56.9,125.5,V8,MPFI,CVT,,AWD,0.414,29.5,9.6,168.0
47.7,4,166.2,108.0,1971,18.7,2007,2,Audi Sport LX,215.7,82.0,52.5,121.6,Inline-4,GDI,Manual,5.0,FWD,0.432,25.8,13.2,140.0
23.1,8,479.2,405.0,5849,13.1,2013,1,Hyundai Luxury Limited,230.0,82.0,76.9,129.5,V8,Carburetor,Automatic,5.0,AWD,0.415,36.9,13.3,219.0
22.3,8,379.4,237.0,4298,16.6,1980,2,Jeep Convertible EX,230.0,82.0,57.3,129.0,V8,nan,Automatic,6.0,FWD,0.5,27.1,,169.0
43.3,5,140.5,119.0,2063,16.6,2014,1,Volkswagen Sedan Sport,229.8,82.0,52.1,127.3,V12,TBI,Automatic,8.0,FWD,0.373,23.6,9.1,130.0
42.1,6,259.3,196.0,3121,16.5,2025,2,Toyota Wagon GT,230.0,82.0,74.6,125.4,V6,MPFI,Automatic,6.0,FWD,0.332,36.5,12.7,140.0
46.6,4,115.7,50.0,1800,22.3,1993,1,Dodge Sport GT,217.3,82.0,54.8,122.6,Inline-4,nan,Manual,6.0,AWD,0.434,27.3,8.9,110.0
40.8,6,181.0,126.0,2754,17.1,2020,3,Hyundai Sport GT,230.0,82.0,71.0,126.7,Flat-6,TBI,Automatic,9.0,RWD,0.302,34.2,10.9,
46.3,4,162.4,108.0,2038,16.5,2023,2,Mercedes Hatchback GT,229.2,82.0,52.0,121.7,Inline-4,Carburetor,Automatic,5.0,RWD,0.343,25.0,10.7,
43.9,6,231.7,122.0,3063,20.4,2024,1,Ford Wagon LX,230.0,82.0,75.9,128.8,Flat-6,Carburetor,Automatic,10.0,FWD,0.323,,11.8,146.0
52.3,4,151.7,67.0,1959,18.2,2024,1,Lexus Convertible EX,228.7,82.0,72.0,128.2,Inline-4,MPFI,Manual,5.0,FWD,0.351,36.0,9.7,103.0
36.7,6,271.5,112.0,3597,19.3,2010,2,Tesla Compact GT,230.0,82.0,,125.1,V6,Direct Injection,Manual,5.0,FWD,0.415,37.2,13.0,145.0
29.1,8,399.1,179.0,5056,20.1,2025,1,BMW Crossover EX,230.0,82.0,57.1,129.6,V8,GDI,CVT,,4WD,0.35,26.6,12.0,147.0
46.3,4,135.3,70.0,1800,21.2,2019,3,BMW Hatchback Limited,,82.0,57.8,117.9,Inline-4,GDI,CVT,,RWD,,29.1,12.9,134.0
43.3,4,116.2,65.0,2258,19.0,1991,1,Honda Convertible EX,230.0,82.0,74.5,124.7,Inline-4,GDI,Manual,,FWD,0.458,,12.3,95.0
48.0,5,158.3,65.0,2194,20.6,2008,3,Honda Convertible EX,230.0,82.0,52.5,124.3,V12,MPFI,Manual,5.0,RWD,0.339,26.6,10.0,153.0
38.5,6,259.7,158.0,3453,18.7,2017,3,Hyundai Sport Limited,230.0,82.0,74.7,126.6,V6,MPFI,Automatic,5.0,4WD,0.347,34.7,11.7,144.0
45.6,4,130.4,50.0,1897,22.5,1997,1,BMW Coupe Limited,227.8,82.0,70.0,126.4,,MPFI,Automatic,7.0,4WD,0.435,34.6,8.6,139.0
37.5,6,196.4,119.0,2802,19.1,2014,3,Chevrolet Coupe DX,230.0,82.0,56.2,130.0,V6,MPFI,Manual,5.0,FWD,,25.5,,102.0
53.1,4,98.5,62.0,1800,18.0,2015,3,Mazda Compact ,208.7,82.0,53.9,114.4,Inline-4,Direct Injection,Automatic,,FWD,0.336,25.9,11.0,120.0
46.2,4,132.6,,2255,16.6,1991,2,Honda Compact Base,224.5,82.0,52.9,124.4,Flat-4,Direct Injection,DCT,,4WD,0.485,25.9,11.2,118.0
48.0,3,73.9,50.0,1800,22.2,2012,1,Mercedes Convertible LX,218.0,82.0,53.8,123.3,Inline-3,TBI,Automatic,8.0,nan,0.341,26.4,11.8,121.0
46.3,4,148.8,70.0,1917,20.0,2019,1,Volvo Hatchback EX,230.0,82.0,59.3,129.1,Flat-4,MPFI,DCT,,FWD,0.329,29.4,12.6,129.0
42.8,6,227.1,108.0,2991,18.4,2009,2,Dodge Truck DX,230.0,82.0,,129.7,V6,Direct Injection,CVT,,nan,0.399,,12.4,120.0
36.7,8,311.6,143.0,3923,20.0,1971,1,Hyundai Van ,,82.0,57.5,126.3,V8,GDI,Automatic,7.0,nan,0.5,29.5,10.0,101.0
34.4,4,135.7,108.0,2100,17.6,1971,2,Mazda Luxury Limited,225.4,82.0,53.4,125.0,Inline-4,MPFI,CVT,,FWD,0.5,25.8,8.5,134.0
38.8,5,194.4,156.0,2732,13.9,2003,2,Jeep Sedan Premium,230.0,82.0,71.5,130.8,V12,MPFI,Automatic,8.0,FWD,0.386,35.5,12.3,138.0
48.1,4,104.3,50.0,1800,18.7,2023,2,Mazda Compact DX,227.4,82.0,57.3,120.2,Inline-4,MPFI,Automatic,6.0,RWD,0.376,,13.4,141.0
38.1,6,249.0,105.0,3589,20.9,1996,2,Jeep Coupe LX,230.0,82.0,52.7,129.5,Inline-6,MPFI,Manual,6.0,RWD,,26.6,12.6,135.0
46.3,4,143.4,91.0,2269,21.0,2014,1,Mercedes Truck Sport,230.0,82.0,54.7,123.7,Inline-4,Direct Injection,Manual,5.0,FWD,0.409,25.0,11.4,102.0
32.6,6,254.9,94.0,3785,21.5,1995,1,Volkswagen Truck LX,,82.0,59.7,124.6,V6,GDI,Automatic,5.0,RWD,0.425,30.1,9.0,116.0
28.2,8,313.1,239.0,3868,13.3,2001,2,Chevrolet SUV Limited,230.0,82.0,70.0,127.6,V8,Direct Injection,Automatic,5.0,nan,0.424,33.9,9.8,
48.3,4,174.7,125.0,2167,14.7,2021,1,Audi Convertible EX,230.0,82.0,59.1,129.0,Inline-4,MPFI,Automatic,,AWD,0.381,28.5,13.0,137.0
39.2,6,242.1,144.0,3077,18.6,2018,1,Nissan Convertible ,,82.0,72.7,128.4,V6,MPFI,Manual,5.0,4WD,0.363,36.7,10.3,152.0
34.5,4,166.2,80.0,2911,21.6,1983,1,Nissan Convertible Sport,230.0,82.0,72.1,129.0,Inline-4,TBI,CVT,,RWD,0.477,37.0,12.3,129.0
44.4,4,112.2,55.0,1800,20.2,2006,1,Volkswagen Sport EX,223.7,82.0,72.9,124.3,Flat-4,MPFI,Automatic,9.0,RWD,0.397,35.1,,94.0
37.0,4,156.5,90.0,2431,18.9,1974,2,Lexus Luxury ,230.0,82.0,56.3,125.8,Inline-4,Carburetor,DCT,6.0,FWD,0.468,26.3,9.9,111.0
42.6,4,160.3,,2392,17.7,2009,2,Volvo Sedan Premium,230.0,82.0,75.0,126.8,Inline-4,Carburetor,DCT,8.0,FWD,0.347,37.5,12.9,115.0
44.1,4,125.8,54.0,1800,21.6,2015,1,Mercedes Hybrid DX,203.2,82.0,55.4,112.5,Inline-4,GDI,Automatic,8.0,FWD,0.339,26.8,12.8,100.0
39.8,4,124.6,79.0,1813,19.2,1986,2,Volvo SUV LX,230.0,82.0,67.5,126.6,Inline-4,TBI,Manual,6.0,FWD,0.457,32.9,11.8,124.0
50.3,4,149.2,125.0,2150,,2000,1,Hyundai Truck Base,221.0,82.0,57.3,125.7,Inline-4,MPFI,nan,7.0,FWD,0.404,28.9,9.9,141.0
47.4,4,98.4,50.0,1964,22.1,2005,2,Chrysler Coupe Limited,199.7,82.0,52.2,116.0,Inline-4,MPFI,Manual,6.0,RWD,0.439,26.1,12.5,131.0
38.6,6,253.6,155.0,3176,17.3,2023,3,Acura Hatchback GT,230.0,82.0,72.6,131.5,Inline-6,MPFI,Manual,5.0,AWD,0.333,34.2,10.9,116.0
38.4,8,289.4,137.0,3762,18.9,2025,1,Tesla Convertible Limited,230.0,82.0,75.7,128.6,V8,Direct Injection,Automatic,4.0,FWD,,38.6,9.7,172.0
42.3,4,107.2,77.0,1936,18.4,1976,1,Audi SUV Premium,208.4,82.0,69.0,112.5,Inline-4,Carburetor,Automatic,5.0,4WD,,30.9,8.7,141.0
44.1,4,149.8,50.0,1800,20.9,2019,2,Mazda Van Base,230.0,82.0,58.4,126.3,Inline-4,GDI,Automatic,10.0,FWD,0.371,30.1,13.3,107.0
40.9,4,98.8,66.0,1800,20.1,2004,3,Volkswagen Sport Limited,219.1,82.0,74.1,,Inline-4,nan,Automatic,4.0,AWD,0.359,36.7,12.4,123.0
19.1,8,493.8,190.0,5868,,2004,1,Honda Wagon Premium,230.0,82.0,66.0,,V8,Carburetor,nan,7.0,FWD,0.409,31.5,9.3,132.0
37.3,6,266.8,73.0,3463,21.1,2018,1,Tesla Coupe Premium,230.0,82.0,76.4,123.2,V6,GDI,Automatic,6.0,RWD,0.348,35.8,11.4,91.0
47.3,4,146.4,100.0,1800,16.2,2023,3,Lexus SUV DX,230.0,82.0,59.7,125.4,Inline-4,GDI,Automatic,6.0,4WD,0.324,28.0,9.4,106.0
41.5,4,163.7,120.0,1809,16.1,2024,1,Jeep Sedan Sport,197.9,82.0,52.6,109.0,Inline-4,TBI,CVT,,FWD,0.343,25.8,,
50.7,4,169.9,111.0,2515,17.5,2012,1,Volkswagen Van Limited,230.0,82.0,74.8,127.1,Inline-4,Direct Injection,Automatic,,AWD,0.343,37.1,9.6,137.0
53.1,4,113.4,97.0,1800,16.6,2003,2,Audi Truck ,230.0,82.0,72.4,127.5,Inline-4,Direct Injection,Automatic,8.0,4WD,0.36,34.9,12.9,129.0
27.5,8,466.9,304.0,5064,16.8,2020,1,Mercedes Coupe Sport,230.0,82.0,56.6,129.5,V8,MPFI,Manual,5.0,4WD,0.305,28.3,9.4,166.0
29.9,8,322.9,211.0,4524,18.1,1997,3,Jeep Convertible Base,230.0,82.0,65.8,126.4,V8,Carburetor,Automatic,8.0,FWD,,33.6,10.6,163.0
44.4,4,127.2,50.0,2057,22.9,2012,2,Subaru Convertible EX,222.7,82.0,58.6,124.1,Inline-4,nan,Semi-Automatic,7.0,4WD,0.422,28.7,11.0,135.0
44.6,5,173.5,56.0,2072,20.8,2003,3,BMW Crossover Premium,224.8,82.0,55.5,125.3,V12,MPFI,CVT,,AWD,0.405,26.1,9.5,128.0
43.3,4,154.3,51.0,2788,24.2,2015,1,Honda Hatchback GT,,82.0,55.4,125.7,Inline-4,MPFI,CVT,,FWD,0.415,27.1,10.9,
49.4,4,92.7,55.0,1800,22.4,1996,2,Lexus Truck Limited,230.0,82.0,59.5,126.2,Inline-4,GDI,Automatic,7.0,RWD,0.378,29.4,9.3,113.0
31.0,8,343.9,178.0,4586,19.6,1993,2,Chevrolet Convertible Base,230.0,82.0,73.1,126.8,V8,MPFI,CVT,,FWD,0.461,33.9,10.3,138.0
36.5,6,240.9,210.0,3722,16.9,2023,3,Kia Hybrid Base,230.0,82.0,57.6,125.4,V6,TBI,DCT,8.0,FWD,0.359,28.3,10.3,130.0
40.0,4,122.2,87.0,2043,19.2,1984,1,Volkswagen Van GT,226.0,82.0,59.6,128.4,,MPFI,CVT,,RWD,0.5,29.6,8.4,108.0
47.1,4,159.8,162.0,2155,14.6,2010,3,Tesla Convertible Base,,,59.5,,Flat-4,GDI,CVT,,FWD,0.386,29.7,10.8,137.0
39.2,6,245.2,,2731,12.4,1995,2,Volvo Sport Limited,230.0,82.0,76.6,123.7,V6,MPFI,DCT,6.0,FWD,0.451,37.3,9.5,153.0
30.7,6,203.4,123.0,3439,20.8,1975,2,Acura Sport Sport,230.0,82.0,59.5,124.0,V6,GDI,Automatic,4.0,RWD,0.494,28.3,8.2,120.0
40.5,4,103.1,63.0,1884,20.5,1975,3,Ford Truck Sport,230.0,82.0,55.1,120.9,Inline-4,Carburetor,CVT,,4WD,0.451,27.1,12.1,
42.5,4,146.6,78.0,1800,19.9,1992,2,Nissan Wagon Sport,221.8,82.0,71.1,126.9,,Carburetor,Automatic,8.0,FWD,0.401,33.8,12.6,100.0
46.7,4,130.5,127.0,2307,15.3,2022,2,Volkswagen Truck Limited,230.0,82.0,55.7,,Inline-4,GDI,CVT,,4WD,0.379,27.5,10.7,155.0
31.1,8,317.2,,4155,18.7,1999,2,BMW Wagon Premium,230.0,82.0,70.0,131.3,V8,MPFI,Automatic,,4WD,0.382,34.2,13.0,153.0
45.2,6,212.6,133.0,2817,18.9,2024,1,Chrysler Convertible Base,230.0,82.0,57.7,131.2,Flat-6,MPFI,Automatic,8.0,AWD,0.354,27.6,9.9,
47.5,4,117.3,50.0,1800,19.7,2012,1,Toyota Crossover Sport,230.0,82.0,65.5,124.6,Inline-4,TBI,CVT,,RWD,,33.1,11.4,96.0
41.2,6,190.8,77.0,2777,21.3,2007,1,Audi Hybrid GT,230.0,82.0,77.1,126.4,V6,MPFI,DCT,6.0,FWD,0.383,38.3,9.3,94.0
36.3,6,234.7,139.0,3319,19.3,2012,2,Ford Luxury Limited,230.0,82.0,74.5,124.2,V6,MPFI,Automatic,7.0,RWD,,36.3,11.1,110.0
45.4,4,158.7,54.0,1921,22.5,2010,1,Subaru Hatchback EX,201.5,82.0,54.6,108.0,Inline-4,MPFI,DCT,7.0,FWD,0.41,24.4,12.9,124.0
46.7,4,141.8,104.0,1972,16.8,2019,3,BMW Wagon Limited,230.0,82.0,,126.5,Inline-4,Carburetor,CVT,,AWD,0.389,33.0,9.9,128.0
31.6,6,262.6,81.0,4315,22.4,1999,1,Volvo Hatchback Limited,230.0,82.0,74.2,130.7,V6,TBI,CVT,,AWD,,36.6,10.1,134.0
36.6,6,192.8,141.0,2884,17.1,2003,2,Tesla Truck LX,229.3,82.0,72.0,123.4,V6,MPFI,Automatic,4.0,FWD,,34.6,10.0,130.0
44.6,6,223.6,52.0,3278,22.5,2023,1,Chevrolet Sedan Sport,230.0,82.0,59.3,126.6,V6,MPFI,Automatic,5.0,FWD,0.389,27.5,10.2,
35.3,8,414.1,363.0,4625,14.9,2024,1,Tesla Truck Sport,230.0,82.0,58.6,126.3,,MPFI,Automatic,8.0,AWD,0.332,28.1,12.4,207.0
48.0,4,150.8,90.0,1800,17.5,2022,1,Tesla SUV Limited,230.0,82.0,74.4,125.6,Inline-4,MPFI,Automatic,,RWD,,36.5,13.5,
47.4,4,152.6,106.0,2460,17.8,2006,3,Volvo Compact Sport,230.0,82.0,67.2,125.7,Inline-4,GDI,CVT,,AWD,0.383,32.5,11.6,103.0
26.7,8,440.4,168.0,5476,20.2,2019,1,Nissan Sport Limited,230.0,82.0,72.4,130.4,V8,MPFI,CVT,,FWD,0.375,,12.8,149.0
39.3,4,148.6,104.0,2503,18.3,2008,1,Volvo Van LX,224.8,82.0,67.9,124.5,Inline-4,MPFI,Manual,5.0,FWD,0.348,32.8,10.9,122.0
42.4,6,189.4,152.0,2691,16.1,2009,3,Jeep SUV DX,230.0,82.0,72.8,,V6,Carburetor,Automatic,7.0,AWD,0.379,36.8,9.6,
33.7,6,249.5,71.0,3572,21.5,1994,1,Volkswagen Van Limited,230.0,82.0,76.4,126.0,V6,nan,Automatic,5.0,FWD,0.431,37.9,9.2,108.0
41.6,6,252.5,92.0,2453,18.9,2013,2,Volvo Crossover Sport,224.2,,52.9,122.0,V6,Carburetor,Automatic,6.0,FWD,0.387,25.1,12.5,123.0
45.0,4,179.4,68.0,2397,19.6,1993,3,Volkswagen Luxury DX,230.0,82.0,52.4,127.4,Inline-4,nan,CVT,,FWD,0.384,24.6,12.3,98.0
34.5,6,249.3,112.0,3504,20.3,2002,3,Chevrolet Truck GT,230.0,82.0,55.1,126.6,V6,TBI,Automatic,8.0,FWD,0.402,28.2,11.3,125.0
41.4,6,248.7,85.0,2982,19.7,2021,3,Volvo Truck ,230.0,82.0,58.6,123.5,V6,Direct Injection,Semi-Automatic,6.0,RWD,,29.2,10.8,134.0
38.5,6,231.5,201.0,3368,17.2,1994,1,BMW Truck ,230.0,82.0,53.5,131.3,V6,TBI,Manual,5.0,FWD,0.397,25.7,8.8,134.0
41.5,5,192.1,97.0,2482,18.8,1979,2,Tesla Compact EX,230.0,82.0,70.7,127.2,V12,TBI,Automatic,7.0,AWD,0.447,33.5,10.5,119.0
41.6,4,179.7,124.0,2213,17.0,1979,3,Kia Crossover LX,229.5,82.0,52.8,120.8,Inline-4,TBI,Manual,6.0,FWD,,24.8,8.4,140.0
